cassandra@cqlsh> SELECT * FROM sensordatakeyspace.temperature;

 id                                   | timestamp                       | value
--------------------------------------+---------------------------------+----------
 220898f1-66f6-4ded-9e75-155394cdfaea | 2024-12-18 22:16:55.000000+0000 | 26.93854
 6c907d67-e2fd-42c6-adee-54dd36ba3f6e | 2024-12-18 22:02:59.000000+0000 | 26.87043
 a0b0fc9e-6691-4f7b-92a6-11a54268babd | 2024-12-18 22:17:07.000000+0000 | 22.37215
 7d2a81dd-d5f8-424c-96ba-c58f4a556a68 | 2024-12-18 22:02:23.000000+0000 | 21.69998
 c3e3b89e-1df7-4d02-97b0-ef4eafa92606 | 2024-12-18 22:02:55.000000+0000 | 29.67586
 4ba061fc-102d-494c-806e-8febcf8c44a5 | 2024-12-18 22:02:32.000000+0000 | 22.18632
 fa15ccf8-f801-40a5-b080-bd6e0c9db67e | 2024-12-18 22:16:58.000000+0000 |  21.7501
 2c0c2cd1-faa6-42ee-8bbc-03f4dcf2fc9f | 2024-12-18 22:03:27.000000+0000 | 28.26304
 74338a25-676e-44e8-9edd-0a79983910e8 | 2024-12-18 22:03:40.000000+0000 | 29.67548
 2383fa87-46c3-4542-9051-502aeacfcbab | 2024-12-18 22:03:20.000000+0000 | 25.16824
 7396018f-e810-4061-bf89-000a8cd5f62a | 2024-12-18 22:02:53.000000+0000 |  22.1085
 da1b4b9b-6c8a-4935-b7fb-944780d4f729 | 2024-12-18 22:16:52.000000+0000 | 27.96705
 e5dba903-7e41-4259-8d77-3396287c1f02 | 2024-12-18 22:03:31.000000+0000 | 24.97974
 5ab46365-b2f8-4160-bf1e-bd01bc45a805 | 2024-12-18 22:17:03.000000+0000 | 20.82063
 b551ad8c-81b4-4220-a021-42953d2856f7 | 2024-12-18 22:02:15.000000+0000 | 23.97289
 a76819d8-a596-429c-8a0b-6a3898a3867a | 2024-12-18 22:03:16.000000+0000 | 20.69795
 c254d00f-17bd-4384-bff0-8a56554b3086 | 2024-12-18 22:03:09.000000+0000 |  23.4608
 07eb9d5c-5e9d-4ace-810c-18a2edad153a | 2024-12-18 22:02:41.000000+0000 | 21.60523
 b3be9f88-a016-4a14-b0ad-672f2715622d | 2024-12-18 22:02:10.000000+0000 | 22.69221
 34f972d3-b620-41dd-b4d2-0ade3e30c35a | 2024-12-18 22:17:16.000000+0000 |  28.2516
 706cb72d-df5b-4976-bf61-6d6a11acb57a | 2024-12-18 22:17:05.000000+0000 | 21.34216
 c452f667-5a1b-4796-83a1-17defb8aa4c8 | 2024-12-18 22:17:19.000000+0000 | 20.23426
 a532fbf9-3d98-4ffb-b197-cf6e856dd586 | 2024-12-18 22:03:06.000000+0000 | 25.34407
 09f14bad-e071-4803-bcb9-6917bbb3403a | 2024-12-18 22:02:34.000000+0000 | 23.39703
 470a3309-b1cb-469d-84b6-4dd62a4ff5d8 | 2024-12-18 22:02:20.000000+0000 | 27.15593
 8e781293-ab20-4265-9c41-48ccdeeb5a7d | 2024-12-18 22:03:35.000000+0000 | 25.68275
 e9ce5d2b-050c-4e9f-9dce-6538b48f7009 | 2024-12-18 22:03:04.000000+0000 | 26.95185
 dc0207b8-129d-4b24-9d6c-4ecf1eaab0da | 2024-12-18 22:02:45.000000+0000 | 21.27637
 73b9ecf4-c602-4cc1-9a5f-7ad18e1632dd | 2024-12-18 22:17:12.000000+0000 | 22.48564
 891b4023-5e2a-46fe-bc92-0704facd2e6e | 2024-12-18 22:16:49.000000+0000 | 25.71798
 b8e4d16b-0c93-4825-9410-d8673d29b8bb | 2024-12-18 22:17:26.000000+0000 |  23.8078
 9100aa62-189d-4428-a235-847a6628453d | 2024-12-18 22:17:24.000000+0000 | 28.36257
 98870473-132d-4b04-8254-9c8ff41a9da8 | 2024-12-18 22:02:27.000000+0000 | 29.82688
 d906e383-57ff-43c5-85fb-783045d19b57 | 2024-12-18 22:03:13.000000+0000 | 29.84869
 f3619345-4e34-4d17-84f0-681527f01787 | 2024-12-18 22:03:22.000000+0000 | 24.48858
 05765c41-717e-481a-8671-c772d844eef9 | 2024-12-18 22:02:17.000000+0000 | 26.63555
 14636bee-4879-485a-805f-a05db7a4a9fe | 2024-12-18 22:02:38.000000+0000 |  24.4342
 9a329314-b41a-4138-b494-2a207558438a | 2024-12-18 22:02:49.000000+0000 | 28.69639

(38 rows)
cassandra@cqlsh> SELECT * FROM sensordatakeyspace.humidity;

 id                                   | timestamp                       | value
--------------------------------------+---------------------------------+----------
 220898f1-66f6-4ded-9e75-155394cdfaea | 2024-12-18 22:16:55.000000+0000 |  80.7796
 6c907d67-e2fd-42c6-adee-54dd36ba3f6e | 2024-12-18 22:02:59.000000+0000 | 87.09121
 a0b0fc9e-6691-4f7b-92a6-11a54268babd | 2024-12-18 22:17:07.000000+0000 |  85.9189
 7d2a81dd-d5f8-424c-96ba-c58f4a556a68 | 2024-12-18 22:02:23.000000+0000 | 88.71464
 c3e3b89e-1df7-4d02-97b0-ef4eafa92606 | 2024-12-18 22:02:55.000000+0000 | 86.19843
 4ba061fc-102d-494c-806e-8febcf8c44a5 | 2024-12-18 22:02:32.000000+0000 | 86.76239
 fa15ccf8-f801-40a5-b080-bd6e0c9db67e | 2024-12-18 22:16:58.000000+0000 | 83.71564
 2c0c2cd1-faa6-42ee-8bbc-03f4dcf2fc9f | 2024-12-18 22:03:27.000000+0000 |   84.224
 74338a25-676e-44e8-9edd-0a79983910e8 | 2024-12-18 22:03:40.000000+0000 | 85.49164
 2383fa87-46c3-4542-9051-502aeacfcbab | 2024-12-18 22:03:20.000000+0000 | 87.00057
 7396018f-e810-4061-bf89-000a8cd5f62a | 2024-12-18 22:02:53.000000+0000 | 84.21528
 da1b4b9b-6c8a-4935-b7fb-944780d4f729 | 2024-12-18 22:16:52.000000+0000 | 84.28898
 e5dba903-7e41-4259-8d77-3396287c1f02 | 2024-12-18 22:03:31.000000+0000 | 84.76677
 5ab46365-b2f8-4160-bf1e-bd01bc45a805 | 2024-12-18 22:17:03.000000+0000 | 83.22777
 b551ad8c-81b4-4220-a021-42953d2856f7 | 2024-12-18 22:02:15.000000+0000 | 87.12113
